KnowledgeBase.addTriple;310;0;;Row Labels;Average of 310;Average of 0
KnowledgeBase.addTriple;300;0;;KnowledgeBase.addTriple;241,7981651;-2743,192661
KnowledgeBase.addTriple;234;0;;KnowledgeBase.getPropertyObjectAsTriples;177,3363636;4375,272727
KnowledgeBase.addTriple;243;0;;KnowledgeBase.initialize;237,9;492339,2
KnowledgeBase.addTriple;237;0;;KnowledgeBase.removeTriple;133,4636364;-1824,581818
KnowledgeBase.addTriple;210;0;;KnowledgeBase.uninitialize;4,2;0
KnowledgeBase.addTriple;261;-4096;;PolicyManager.getAllowedModel;176,0371429;8016,457143
KnowledgeBase.addTriple;251;0;;PolicyManager.isAllowed_t;115,8590909;-1321,890909
KnowledgeBase.addTriple;271;0;;StorageAccessManager.deleteObjectProperty;135,4181818;-4617,309091
KnowledgeBase.addTriple;253;0;;StorageAccessManager.getAllPersons;230,4;126156,8
KnowledgeBase.addTriple;308;0;;StorageAccessManager.getDataProperty;173,5090909;446,8363636
KnowledgeBase.addTriple;244;0;;StorageAccessManager.getMe;182,6;37273,6
KnowledgeBase.addTriple;239;0;;StorageAccessManager.getObjectProperty;192,5090909;6032,290909
KnowledgeBase.addTriple;213;0;;StorageAccessManager.getPersonByUserId;178,1666667;9011,2
KnowledgeBase.addTriple;272;0;;StorageAccessManager.getPropertyNode;0,782608696;276,0347826
KnowledgeBase.addTriple;198;0;;StorageAccessManager.setObjectProperty;244,4090909;-2718,254545
KnowledgeBase.addTriple;221;-4096;;Grand Total;134,1164814;5147,22088
KnowledgeBase.addTriple;266;0;;;;
KnowledgeBase.addTriple;281;0;;;;
KnowledgeBase.addTriple;244;0;;;;
KnowledgeBase.addTriple;270;0;;;;
KnowledgeBase.addTriple;250;0;;;;
KnowledgeBase.addTriple;232;-8192;;;;
KnowledgeBase.addTriple;240;0;;;;
KnowledgeBase.addTriple;248;0;;;;
KnowledgeBase.addTriple;249;0;;;;
KnowledgeBase.addTriple;155;-8192;;;;
KnowledgeBase.addTriple;242;0;;;;
KnowledgeBase.addTriple;250;0;;;;
KnowledgeBase.addTriple;242;0;;;;
KnowledgeBase.addTriple;268;0;;;;
KnowledgeBase.addTriple;252;0;;;;
KnowledgeBase.addTriple;249;0;;;;
KnowledgeBase.addTriple;225;0;;;;
KnowledgeBase.addTriple;249;0;;;;
KnowledgeBase.addTriple;228;0;;;;
KnowledgeBase.addTriple;234;0;;;;
KnowledgeBase.addTriple;197;0;;;;
KnowledgeBase.addTriple;254;-4096;;;;
KnowledgeBase.addTriple;276;0;;;;
KnowledgeBase.addTriple;275;0;;;;
KnowledgeBase.addTriple;248;0;;;;
KnowledgeBase.addTriple;240;0;;;;
KnowledgeBase.addTriple;251;0;;;;
KnowledgeBase.addTriple;233;0;;;;
KnowledgeBase.addTriple;227;0;;;;
KnowledgeBase.addTriple;236;0;;;;
KnowledgeBase.addTriple;247;0;;;;
KnowledgeBase.addTriple;188;-4096;;;;
KnowledgeBase.addTriple;247;0;;;;
KnowledgeBase.addTriple;253;0;;;;
KnowledgeBase.addTriple;262;0;;;;
KnowledgeBase.addTriple;260;0;;;;
KnowledgeBase.addTriple;246;0;;;;
KnowledgeBase.addTriple;256;0;;;;
KnowledgeBase.addTriple;228;0;;;;
KnowledgeBase.addTriple;241;0;;;;
KnowledgeBase.addTriple;253;-126976;;;;
KnowledgeBase.addTriple;251;-4096;;;;
KnowledgeBase.addTriple;165;0;;;;
KnowledgeBase.addTriple;235;0;;;;
KnowledgeBase.addTriple;256;0;;;;
KnowledgeBase.addTriple;246;0;;;;
KnowledgeBase.addTriple;256;0;;;;
KnowledgeBase.addTriple;259;0;;;;
KnowledgeBase.addTriple;248;-245760;;;;
KnowledgeBase.addTriple;227;0;;;;
KnowledgeBase.addTriple;237;245760;;;;
KnowledgeBase.addTriple;245;-61440;;;;
KnowledgeBase.addTriple;233;-4096;;;;
KnowledgeBase.addTriple;199;0;;;;
KnowledgeBase.addTriple;239;0;;;;
KnowledgeBase.addTriple;241;0;;;;
KnowledgeBase.addTriple;246;0;;;;
KnowledgeBase.addTriple;244;0;;;;
KnowledgeBase.addTriple;244;0;;;;
KnowledgeBase.addTriple;245;0;;;;
KnowledgeBase.addTriple;233;0;;;;
KnowledgeBase.addTriple;230;0;;;;
KnowledgeBase.addTriple;253;0;;;;
KnowledgeBase.addTriple;256;0;;;;
KnowledgeBase.addTriple;189;0;;;;
KnowledgeBase.addTriple;228;0;;;;
KnowledgeBase.addTriple;242;0;;;;
KnowledgeBase.addTriple;264;-8192;;;;
KnowledgeBase.addTriple;255;8192;;;;
KnowledgeBase.addTriple;262;0;;;;
KnowledgeBase.addTriple;269;0;;;;
KnowledgeBase.addTriple;236;0;;;;
KnowledgeBase.addTriple;223;0;;;;
KnowledgeBase.addTriple;228;-4096;;;;
KnowledgeBase.addTriple;244;0;;;;
KnowledgeBase.addTriple;151;0;;;;
KnowledgeBase.addTriple;244;0;;;;
KnowledgeBase.addTriple;255;0;;;;
KnowledgeBase.addTriple;248;0;;;;
KnowledgeBase.addTriple;246;61440;;;;
KnowledgeBase.addTriple;244;0;;;;
KnowledgeBase.addTriple;250;0;;;;
KnowledgeBase.addTriple;232;0;;;;
KnowledgeBase.addTriple;237;0;;;;
KnowledgeBase.addTriple;249;0;;;;
KnowledgeBase.addTriple;267;0;;;;
KnowledgeBase.addTriple;138;0;;;;
KnowledgeBase.addTriple;257;0;;;;
KnowledgeBase.addTriple;249;0;;;;
KnowledgeBase.addTriple;243;0;;;;
KnowledgeBase.addTriple;250;0;;;;
KnowledgeBase.addTriple;272;0;;;;
KnowledgeBase.addTriple;249;-126976;;;;
KnowledgeBase.getPropertyObjectAsTriples;201;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;254;507904;;;;
KnowledgeBase.getPropertyObjectAsTriples;203;-126976;;;;
KnowledgeBase.getPropertyObjectAsTriples;204;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;138;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;184;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;182;-16384;;;;
KnowledgeBase.getPropertyObjectAsTriples;184;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;139;4096;;;;
KnowledgeBase.getPropertyObjectAsTriples;204;-253952;;;;
KnowledgeBase.getPropertyObjectAsTriples;131;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;167;253952;;;;
KnowledgeBase.getPropertyObjectAsTriples;182;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;185;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;201;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;130;-8192;;;;
KnowledgeBase.getPropertyObjectAsTriples;209;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;131;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;198;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;220;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;131;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;198;126976;;;;
KnowledgeBase.getPropertyObjectAsTriples;215;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;136;126976;;;;
KnowledgeBase.getPropertyObjectAsTriples;181;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;131;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;195;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;172;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;128;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;183;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;161;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;176;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;128;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;212;126976;;;;
KnowledgeBase.getPropertyObjectAsTriples;138;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;176;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;132;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;180;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;126;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;176;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;211;-126976;;;;
KnowledgeBase.getPropertyObjectAsTriples;171;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;128;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;178;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;215;-122880;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;168;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;175;8192;;;;
KnowledgeBase.getPropertyObjectAsTriples;176;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;8192;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;178;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;177;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;61440;;;;
KnowledgeBase.getPropertyObjectAsTriples;179;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;185;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;179;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;175;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;200;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;200;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;180;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;198;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;135;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;191;245760;;;;
KnowledgeBase.getPropertyObjectAsTriples;120;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;194;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;124;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;180;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;126;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;194;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;122;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;171;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;127;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;178;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;127;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;124;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;175;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;141;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;179;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;128;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;205;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;164;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;165;8192;;;;
KnowledgeBase.getPropertyObjectAsTriples;184;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;208;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;166;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;172;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;230;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;171;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;212;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;169;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;173;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;172;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;173;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;179;-184320;;;;
KnowledgeBase.getPropertyObjectAsTriples;222;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;173;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;178;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;175;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;177;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;168;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;125;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;190;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;172;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;170;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;124;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;169;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;169;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;169;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;182;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;173;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;177;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;173;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;123;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;174;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;184;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;187;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;126;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;176;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;127;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;212;307200;;;;
KnowledgeBase.getPropertyObjectAsTriples;207;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;207;61440;;;;
KnowledgeBase.getPropertyObjectAsTriples;209;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;211;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;210;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;210;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;209;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;213;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;210;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;210;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;212;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;212;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;212;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;223;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;214;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;219;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;216;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;222;-61440;;;;
KnowledgeBase.getPropertyObjectAsTriples;214;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;215;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;215;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;217;-4096;;;;
KnowledgeBase.getPropertyObjectAsTriples;207;0;;;;
