KnowledgeBase.initialize;198;0;;Row Labels;Average of 198;Average of 0
StorageAccessManager.getPropertyNode;2;0;;KnowledgeBase.addTriple;276,9176471;-2835,07451
StorageAccessManager.getPropertyNode;2;0;;KnowledgeBase.getPropertyObjectAsTriples;192,1509804;-1192,658824
PolicyManager.getAllowedModel;210;0;;KnowledgeBase.initialize;180,8888889;20480
StorageAccessManager.getAllPersons;310;0;;KnowledgeBase.removeTriple;153,1039216;-385,5058824
PolicyManager.getAllowedModel;177;0;;KnowledgeBase.uninitialize;3,8;0
StorageAccessManager.getPersonByUserId;180;0;;PolicyManager.getAllowedModel;184,9767742;1236,727742
StorageAccessManager.getMe;181;0;;PolicyManager.isAllowed_t;121,9705882;-2493,741176
StorageAccessManager.getPropertyNode;1;0;;StorageAccessManager.deleteObjectProperty;155,0078431;-385,5058824
PolicyManager.getAllowedModel;175;0;;StorageAccessManager.getAllPersons;322,7;22528
KnowledgeBase.getPropertyObjectAsTriples;176;0;;StorageAccessManager.getDataProperty;190,0215686;-2907,356863
StorageAccessManager.getDataProperty;180;0;;StorageAccessManager.getMe;181,4;-5734,4
PolicyManager.getAllowedModel;172;0;;StorageAccessManager.getObjectProperty;238,2254902;441,7254902
StorageAccessManager.getPersonByUserId;175;0;;StorageAccessManager.getPersonByUserId;179,9615385;5592,615385
StorageAccessManager.getPropertyNode;2;0;;StorageAccessManager.getPropertyNode;0,727184466;0
PolicyManager.getAllowedModel;180;0;;StorageAccessManager.setObjectProperty;278,8745098;-2955,545098
KnowledgeBase.getPropertyObjectAsTriples;182;0;;Grand Total;147,577948;-343,8006257
StorageAccessManager.getObjectProperty;202;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;65;0;;;;
KnowledgeBase.addTriple;262;0;;;;
StorageAccessManager.setObjectProperty;263;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;176;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;177;0;;;;
StorageAccessManager.getDataProperty;180;0;;;;
PolicyManager.getAllowedModel;176;0;;;;
StorageAccessManager.getPersonByUserId;179;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;186;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;191;0;;;;
StorageAccessManager.getObjectProperty;233;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;67;0;;;;
KnowledgeBase.addTriple;271;0;;;;
StorageAccessManager.setObjectProperty;272;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;179;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;181;0;;;;
StorageAccessManager.getDataProperty;183;0;;;;
PolicyManager.getAllowedModel;172;0;;;;
StorageAccessManager.getPersonByUserId;175;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;191;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;195;0;;;;
StorageAccessManager.getObjectProperty;237;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;64;0;;;;
KnowledgeBase.addTriple;262;0;;;;
StorageAccessManager.setObjectProperty;263;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;180;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;181;0;;;;
StorageAccessManager.getDataProperty;183;0;;;;
PolicyManager.getAllowedModel;180;0;;;;
StorageAccessManager.getPersonByUserId;183;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;184;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;189;0;;;;
StorageAccessManager.getObjectProperty;235;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;73;0;;;;
KnowledgeBase.addTriple;272;0;;;;
StorageAccessManager.setObjectProperty;273;0;;;;
StorageAccessManager.getPropertyNode;0;0;;;;
PolicyManager.getAllowedModel;178;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;180;0;;;;
StorageAccessManager.getDataProperty;181;0;;;;
PolicyManager.getAllowedModel;176;0;;;;
StorageAccessManager.getPersonByUserId;180;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;182;0;;;;
KnowledgeBase.getPropertyObjectAsTriples;186;0;;;;
StorageAccessManager.getObjectProperty;204;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.isAllowed_t;102;0;;;;
KnowledgeBase.addTriple;265;0;;;;
StorageAccessManager.setObjectProperty;268;0;;;;
StorageAccessManager.getPropertyNode;1;0;;;;
PolicyManager.getAllowedModel;176;0;;;;
